title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Chemical plant & system operators,4,Line item,33.2,30.1,-3.1,-9.2,NA,2.8,"$62,170 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Gas plant operators,4,Line item,17.3,17.3,0,0,NA,1.7,"$69,030 ",High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, & gaugers",4,Line item,41.8,43,1.2,2.8,NA,4.3,"$67,770 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant & system operators, all other",4,Line item,12.1,12.4,0.2,1.9,NA,1.2,"$56,330 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Other production occupations,2,Summary,"2,623.70","2,605.70",-18.1,-0.7,1.7,308.6,"$32,510 ",NA,NA,NA
"Chemical processing machine setters, operators, & tenders",3,Summary,121.3,117.6,-3.6,-3,0.6,12.3,"$44,110 ",NA,NA,NA
Chemical equipment operators & tenders,4,Line item,74.1,70.4,-3.7,-5,0.6,7.3,"$47,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, & still machine setters, operators, & tenders",4,Line item,47.2,47.3,0.1,0.1,0.6,5,"$39,040 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, & blending workers",3,Summary,187.7,176.2,-11.6,-6.2,0.3,19,"$35,100 ",NA,NA,NA
"Crushing, grinding, & polishing machine setters, operators, & tenders",4,Line item,30.2,28.2,-2,-6.7,0.3,3,"$35,380 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding & polishing workers, hand",4,Line item,26.6,21.1,-5.4,-20.5,0.3,2.1,"$28,830 ",No formal educational credential,None,Moderate-term on-the-job training
"Mixing & blending machine setters, operators, & tenders",4,Line item,131,126.9,-4.1,-3.1,0.3,13.9,"$36,600 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,3,Summary,78.3,74.3,-4,-5.1,2.2,8.2,"$32,650 ",NA,NA,NA
"Cutters & trimmers, hand",4,Line item,14.7,13.2,-1.5,-10.1,2.2,1.4,"$28,210 ",No formal educational credential,None,Short-term on-the-job training
"Cutting & slicing machine setters, operators, & tenders",4,Line item,63.6,61.1,-2.5,-4,2.2,6.8,"$33,610 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",3,Line item,71.4,67.5,-3.8,-5.4,NA,7.9,"$33,680 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, & kettle operators & tenders",3,Line item,21.9,20.8,-1.1,-5.2,10.7,2,"$37,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, & weighers",3,Line item,520.7,465.2,-55.5,-10.7,0.5,52.7,"$37,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers & precious stone & metal workers,3,Line item,37.7,35.2,-2.5,-6.7,30.2,3.5,"$37,960 ",High school diploma or equivalent,None,Long-term on-the-job training
"Medical, dental, & ophthalmic laboratory technicians",3,Summary,82.2,93.2,11,13.4,2,10.7,"$35,250 ",NA,NA,NA
Dental laboratory technicians,4,Line item,38.1,43.6,5.5,14.4,1.9,5,"$38,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,4,Line item,15,17,2,13.6,2,2,"$37,190 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Ophthalmic laboratory technicians,4,Line item,29.1,32.5,3.4,11.8,2,3.7,"$30,960 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging & filling machine operators & tenders,3,Line item,383,389.7,6.7,1.7,0.3,44.6,"$29,350 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,3,Summary,164.2,168.2,4,2.4,5,17.6,"$36,010 ",NA,NA,NA
"Coating, painting, & spraying machine setters, operators, & tenders",4,Line item,89.9,89.9,0,0,5,9.3,"$33,820 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painters, transportation equipment",4,Line item,58.1,61.9,3.9,6.6,5,6.6,"$41,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painting, coating, & decorating workers",4,Line item,16.3,16.4,0.1,0.9,4.9,1.7,"$30,820 ",No formal educational credential,None,Moderate-term on-the-job training
Semiconductor processors,3,Line item,25.5,24.1,-1.4,-5.6,3.1,2.6,"$36,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers & processing machine operators,3,Line item,26.9,22,-4.9,-18.1,3.3,3.3,"$27,480 ",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous production workers,3,Summary,902.8,951.6,48.8,5.4,1.5,124.2,"$28,710 ",NA,NA,NA
Adhesive bonding machine operators & tenders,4,Line item,17,16.6,-0.5,-2.7,NA,1.8,"$32,710 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, & metal pickling equipment operators & tenders",4,Line item,17.2,17.3,0.1,0.4,NA,2.2,"$29,950 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Cooling & freezing equipment operators & tenders,4,Line item,8.7,8.8,0.1,1.4,3,1,"$30,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers & engravers,4,Line item,10.6,10.6,0.1,0.6,10.1,1.3,"$30,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, & casters, except metal & plastic",4,Line item,43,41.9,-1,-2.3,8.3,4.2,"$31,950 ",High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, & tenders",4,Line item,94.6,86.1,-8.5,-9,NA,8.3,"$37,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,4,Line item,22.3,19.6,-2.7,-12.1,NA,2.1,"$40,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,4,Line item,426,475.5,49.5,11.6,0.1,72,"$26,070 ",High school diploma or equivalent,None,Short-term on-the-job training
"Production workers, all other",4,Line item,263.5,275.1,11.6,4.4,3,31.4,"$28,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation & material moving occupations,1,Summary,"10,274.20","10,908.40",634.3,6.2,4.4,"1,333.40","$31,600 ",NA,NA,NA
Supervisors of transportation & material moving workers,2,Summary,396.2,425.8,29.7,7.5,0.2,44.4,"$53,700 ",NA,NA,NA
Aircraft cargo handling supervisors,3,Line item,7.6,8.1,0.5,5.9,NA,0.8,"$48,150 ",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of helpers, laborers, & material movers, hand",3,Line item,184.4,200.1,15.7,8.5,0.2,21, NA ,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of transportation & material-moving machine & vehicle operators,3,Line item,204.2,217.7,13.5,6.6,0.2,22.6, NA ,High school diploma or equivalent,Less than 5 years,None
Air transportation workers,2,Summary,275.3,293.2,18,6.5,0.5,29.6,"$72,310 ",NA,NA,NA
Aircraft pilots & flight engineers,3,Summary,124.8,129.2,4.4,3.5,1.1,12.1,"$111,930 ",NA,NA,NA
"Airline pilots, copilots, & flight engineers",4,Line item,84,86.9,2.9,3.4,NA,8.1,"$137,330 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,4,Line item,40.8,42.3,1.6,3.8,3.3,4,"$78,740 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Air traffic controllers & airfield operations specialists,3,Summary,33.8,35.5,1.6,4.9,NA,3.3,"$96,980 ",NA,NA,NA
Air traffic controllers,4,Line item,24.9,25.8,0.9,3.5,NA,2.4,"$124,540 ",Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,4,Line item,8.9,9.7,0.8,8.8,NA,0.9,"$52,360 ",High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,3,Line item,116.6,128.5,11.9,10.2,NA,14.2,"$50,500 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,2,Summary,"4,358.90","4,590.60",231.7,5.3,8.7,506.9,"$35,910 ",NA,NA,NA
"Ambulance drivers & attendants, except emergency medical technicians",3,Line item,17.3,21.1,3.8,21.9,NA,3.1,"$24,260 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Bus drivers,3,Summary,687.2,730.6,43.4,6.3,0.9,88.9,"$33,010 ",NA,NA,NA
"Bus drivers, transit & intercity",4,Line item,179.3,195.4,16.1,9,0.9,24,"$40,780 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bus drivers, school or special client",4,Line item,507.9,535.2,27.3,5.4,0.9,64.9,"$31,060 ",High school diploma or equivalent,None,Short-term on-the-job training
"Drivers, sales workers & truck drivers",3,Summary,"3,293.10","3,456.60",163.6,5,7.9,371.5,"$37,610 ",NA,NA,NA
Drivers & sales workers,4,Line item,467.9,461,-6.9,-1.5,8.1,48.2,"$24,040 ",High school diploma or equivalent,None,Short-term on-the-job training
Heavy & tractor-trailer truck drivers,4,Line item,"1,871.70","1,980.10",108.4,5.8,7.9,213.5,"$42,480 ",Postsecondary nondegree award,None,Short-term on-the-job training
Light truck or delivery services drivers,4,Line item,953.5,"1,015.60",62.1,6.5,7.9,109.8,"$31,450 ",High school diploma or equivalent,None,Short-term on-the-job training
Taxi drivers & chauffeurs,3,Line item,305.1,320.3,15.1,5,36.3,32.7,"$24,880 ",No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",3,Line item,56.2,62,5.8,10.3,2.8,10.7,"$26,640 ",No formal educational credential,None,Short-term on-the-job training
Rail transportation workers,2,Summary,122.9,120.6,-2.3,-1.9,0.1,10.4,"$60,390 ",NA,NA,NA
Locomotive engineers & operators,3,Summary,44.4,42.5,-1.8,-4.1,NA,3.3,"$59,810 ",NA,NA,NA
Locomotive engineers,4,Line item,38.8,37.7,-1.1,-2.8,NA,3,"$60,990 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Locomotive firers,4,Line item,1.2,0.3,-0.9,-78.6,NA,0,"$60,360 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, & hostlers",4,Line item,4.4,4.6,0.2,3.7,NA,0.4,"$50,150 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, & switch operators",3,Line item,19.3,19,-0.3,-1.6,NA,1.7,"$57,260 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors & yardmasters,3,Line item,41.8,41,-0.9,-2.1,NA,3.7,"$60,300 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Subway & streetcar operators,3,Line item,12.8,13.4,0.5,4.1,NA,1.3,"$66,420 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",3,Line item,4.6,4.8,0.1,3.1,3.2,0.4,"$58,690 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,2,Summary,86.3,93.2,6.9,8,1.6,10.5,"$55,590 ",NA,NA,NA
Sailors & marine oilers,3,Line item,33.8,36.4,2.6,7.6,NA,4.4,"$40,730 ",No formal educational credential,None,Moderate-term on-the-job training
Ship & boat captains & operators,3,Summary,42.4,46.1,3.7,8.7,3.3,4.8,"$68,930 ",NA,NA,NA
"Captains, mates, & pilots of water vessels",4,Line item,38.8,42.2,3.4,8.8,3.3,4.4,"$70,920 ",Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,4,Line item,3.6,3.9,0.3,7.6,3.2,0.4,"$44,600 ",Postsecondary nondegree award,Less than 5 years,None
Ship engineers,3,Line item,10.1,10.8,0.7,6.5,NA,1.3,"$73,110 ",Postsecondary nondegree award,Less than 5 years,None
Other transportation workers,2,Summary,356.5,384.8,28.2,7.9,0.6,55.5,"$24,480 ",NA,NA,NA
Bridge & lock tenders,3,Line item,3.7,3.8,0.2,4.9,NA,0.4,"$50,240 ",High school diploma or equivalent,None,Short-term on-the-job training
Parking lot attendants,3,Line item,151.6,161,9.4,6.2,1.3,23.9,"$22,810 ",No formal educational credential,None,Short-term on-the-job training
Automotive & watercraft service attendants,3,Line item,110,121.7,11.7,10.6,0.2,20,"$23,390 ",No formal educational credential,None,Short-term on-the-job training
Traffic technicians,3,Line item,6.6,7.2,0.6,9.1,NA,0.8,"$45,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,3,Line item,28.2,29.8,1.7,5.9,NA,2.9,"$72,140 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Transportation attendants, except flight attendants",3,Line item,18.5,20,1.6,8.4,NA,2.7,"$27,830 ",High school diploma or equivalent,None,Short-term on-the-job training
"Transportation workers, all other",3,Line item,38,41.2,3.1,8.3,NA,4.8,"$36,760 ",High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,2,Summary,"4,678.00","5,000.20",322.1,6.9,1.5,676,"$27,320 ",NA,NA,NA
Conveyor operators & tenders,3,Line item,28.1,27.7,-0.3,-1.2,NA,3.7,"$32,300 ",No formal educational credential,None,Short-term on-the-job training
Crane & tower operators,3,Line item,46,49.9,3.9,8.6,2.9,5.3,"$52,200 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Dredge, excavating, & loading machine operators",3,Summary,55.1,59.1,4.1,7.4,5.9,6.6,"$42,950 ",NA,NA,NA
Dredge operators,4,Line item,1.8,1.9,0.1,5,5.7,0.2,"$43,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Excavating & loading machine & dragline operators,4,Line item,50.6,54.7,4.1,8.1,5.9,6.1,"$42,500 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Loading machine operators, underground mining",4,Line item,2.6,2.5,-0.1,-3.5,6.2,0.3,"$52,420 ",No formal educational credential,None,Short-term on-the-job training
Hoist & winch operators,3,Line item,2.9,2.9,0,-0.7,NA,0.4,"$43,210 ",No formal educational credential,None,Short-term on-the-job training
Industrial truck & tractor operators,3,Line item,549.9,585.9,36.1,6.6,0.2,65.9,"$33,630 ",No formal educational credential,None,Short-term on-the-job training
"Laborers & material movers, hand",3,Summary,"3,796.00","4,049.70",253.7,6.7,1.2,566.6,"$25,680 ",NA,NA,NA
Cleaners of vehicles & equipment,4,Line item,369.2,408.7,39.5,10.7,4.2,57.8,"$23,360 ",No formal educational credential,None,Short-term on-the-job training
"Laborers & freight, stock, & material movers, hand",4,Line item,"2,628.40","2,828.10",199.7,7.6,1,388.4,"$27,040 ",No formal educational credential,None,Short-term on-the-job training
Machine feeders & offbearers,4,Line item,87.7,89.2,1.6,1.8,NA,12,"$28,510 ",No formal educational credential,None,Short-term on-the-job training
"Packers & packagers, hand",4,Line item,710.8,723.8,13,1.8,0.4,108.4,"$23,430 ",No formal educational credential,None,Short-term on-the-job training
Pumping station operators,3,Summary,27.3,31.6,4.3,15.6,0.5,3.9,"$50,250 ",NA,NA,NA
Gas compressor & gas pumping station operators,4,Line item,3.9,4,0.1,3.4,NA,0.5,"$62,810 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",4,Line item,11.9,13.5,1.6,13.8,0.5,1.7,"$43,500 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,4,Line item,11.5,14,2.5,21.7,0.5,1.8,"$52,260 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse & recyclable material collectors,3,Line item,136,153.9,17.9,13.2,14.1,18.9,"$36,160 ",No formal educational credential,None,Short-term on-the-job training
Mine shuttle car operators,3,Line item,1.5,1.2,-0.3,-21.9,NA,0.1,"$56,890 ",No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, & ship loaders",3,Line item,10.8,11.4,0.6,5.2,NA,1.4,"$36,860 ",No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",3,Line item,24.4,26.7,2.3,9.3,NA,3.2,"$29,610 ",No formal educational credential,None,Short-term on-the-job training
