title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Cooks, restaurant",4,Line item,"1,231.90","1,377.20",145.3,11.8,NA,195.3,"$25,180 ",No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",4,Line item,185.9,179.7,-6.2,-3.3,NA,24.7,"$22,740 ",No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",4,Line item,17.8,19.4,1.6,9,NA,2.7,"$27,990 ",No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,3,Line item,871.1,939.7,68.6,7.9,0.6,157.7,"$22,730 ",No formal educational credential,None,Short-term on-the-job training
Food & beverage serving workers,2,Summary,"7,432.90","8,260.40",827.6,11.1,0.1,"1,517.20","$20,500 ",NA,NA,NA
Bartenders,3,Line item,611.2,626.3,15.1,2.5,0.3,102.3,"$21,690 ",No formal educational credential,None,Short-term on-the-job training
Fast food & counter workers,3,Summary,"3,957.50","4,560.40",603,15.2,0.1,849.1,"$20,240 ",NA,NA,NA
"Combined food preparation & serving workers, including fast food",4,Line item,"3,452.20","4,032.10",579.9,16.8,0.1,736,"$20,180 ",No formal educational credential,None,Short-term on-the-job training
"Counter attendants, cafeteria, food concession, & coffee shop",4,Line item,505.2,528.3,23.1,4.6,0.5,113.2,"$21,280 ",No formal educational credential,None,Short-term on-the-job training
Waiters & waitresses,3,Line item,"2,600.50","2,783.00",182.5,7,0.1,522.7,"$20,820 ",No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",3,Line item,263.8,290.7,26.9,10.2,NA,43.1,"$22,320 ",No formal educational credential,None,Short-term on-the-job training
Other food preparation & serving related workers,2,Summary,"1,415.70","1,502.30",86.6,6.1,0.1,270.3,"$21,490 ",NA,NA,NA
Dining room & cafeteria attendants & bartender helpers,3,Line item,431.2,461.7,30.5,7.1,0.2,78.2,"$21,160 ",No formal educational credential,None,Short-term on-the-job training
Dishwashers,3,Line item,514.3,536.6,22.2,4.3,NA,83,"$21,500 ",No formal educational credential,None,Short-term on-the-job training
"Hosts & hostesses, restaurant, lounge, & coffee shop",3,Line item,409.2,437.5,28.3,6.9,0,97.9,"$20,930 ",No formal educational credential,None,Short-term on-the-job training
"Food preparation & serving related workers, all other",3,Line item,60.9,66.5,5.6,9.3,0.2,11.3,"$22,620 ",No formal educational credential,None,Short-term on-the-job training
Building & grounds cleaning & maintenance occupations,1,Summary,"5,654.10","6,177.90",523.8,9.3,12.4,788.4,"$25,620 ",NA,NA,NA
Supervisors of building & grounds cleaning & maintenance workers,2,Summary,421.8,466.3,44.5,10.5,34,50.3,"$42,190 ",NA,NA,NA
First-line supervisors of housekeeping & janitorial workers,3,Line item,243.5,267.6,24.1,9.9,29.3,30.8,"$39,230 ",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, & groundskeeping workers",3,Line item,178.3,198.6,20.3,11.4,40.4,19.5,"$47,030 ",High school diploma or equivalent,Less than 5 years,None
Building cleaning & pest control workers,2,Summary,"3,923.00","4,255.90",333,8.5,7,560.2,"$24,360 ",NA,NA,NA
Building cleaning workers,3,Summary,"3,844.00","4,170.50",326.5,8.5,7,548.5,"$24,240 ",NA,NA,NA
"Janitors & cleaners, except maids & housekeeping cleaners",4,Line item,"2,384.60","2,621.20",236.5,9.9,3.8,344.1,"$24,990 ",No formal educational credential,None,Short-term on-the-job training
Maids & housekeeping cleaners,4,Line item,"1,443.20","1,531.00",87.9,6.1,12.3,202,"$22,860 ",No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",4,Line item,16.2,18.3,2.1,12.8,4.8,2.4,"$29,060 ",No formal educational credential,None,Short-term on-the-job training
Pest control workers,3,Line item,78.9,85.4,6.5,8.2,6.4,11.7,"$34,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,2,Summary,"1,309.30","1,455.60",146.3,11.2,21.7,177.9,"$28,110 ",NA,NA,NA
Landscaping & groundskeeping workers,3,Line item,"1,197.90","1,333.10",135.2,11.3,21.9,163,"$27,670 ",No formal educational credential,None,Short-term on-the-job training
