title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
Petroleum engineers,3,Line item,33.7,38.8,5.1,15.2,3.6,2.8,"$132,280 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Petroleum engineers,NA,Jobs/Architecture & engineering/Engineers/Petroleum engineers,#984EA3,12,#FF6D00
"Arts, design, etc",1,Summary,"2,772.90","2,941.00",168.1,6.1,25.2,288.9,"$48,230 ",NA,NA,NA,Jobs,"Arts, design, etc",NA,NA,NA,"Jobs/Arts, design, etc",#999999,10,#FFB600
Art & design workers,2,Summary,833.7,867.4,33.7,4,29.1,78.2,"$45,250 ",NA,NA,NA,Jobs,"Arts, design, etc",Art & design workers,NA,NA,"Jobs/Arts, design, etc/Art & design workers",#999999,10,#FFB600
Artists & related workers,3,Summary,217.4,231.6,14.2,6.5,58.2,18.9,"$74,090 ",NA,NA,NA,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,NA,"Jobs/Arts, design, etc/Art & design workers/Artists & related workers",#999999,11,#FF9200
Art directors,4,Line item,90.3,95.2,4.9,5.4,59.4,7.7,"$92,500 ",Bachelor's degree,5 years or more,None,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,Art directors,"Jobs/Arts, design, etc/Art & design workers/Artists & related workers/Art directors",#999999,10,#FFB600
"Artists & related workers, all other",4,Line item,12.8,13.5,0.7,5.5,42.8,1.1,"$63,540 ",No formal educational credential,None,Long-term on-the-job training,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,"Artists & related workers, all other","Jobs/Arts, design, etc/Art & design workers/Artists & related workers/Artists & related workers, all other",#999999,10,#FFB600
Craft artists,4,Line item,12.5,13.1,0.5,4.3,59.9,1.1,"$34,940 ",No formal educational credential,None,Long-term on-the-job training,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,Craft artists,"Jobs/Arts, design, etc/Art & design workers/Artists & related workers/Craft artists",#999999,10,#FFB600
"Fine artists, including painters, etc",4,Line item,28,29.9,1.9,6.6,58.6,2.4,"$49,520 ",Bachelor's degree,None,Long-term on-the-job training,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,"Fine artists, including painters, etc","Jobs/Arts, design, etc/Art & design workers/Artists & related workers/Fine artists, including painters, etc",#999999,11,#FF9200
Multimedia artists & animators,4,Line item,73.7,79.9,6.2,8.4,59,6.6,"$70,530 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Artists & related workers,Multimedia artists & animators,"Jobs/Arts, design, etc/Art & design workers/Artists & related workers/Multimedia artists & animators",#999999,11,#FF9200
Designers,3,Summary,616.3,635.8,19.5,3.2,18.8,59.3,"$41,480 ",NA,NA,NA,Jobs,"Arts, design, etc",Art & design workers,Designers,NA,"Jobs/Arts, design, etc/Art & design workers/Designers",#999999,10,#FFB600
Commercial & industrial designers,4,Line item,39.7,41.4,1.8,4.4,19.2,3.9,"$65,970 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,Commercial & industrial designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Commercial & industrial designers",#999999,10,#FFB600
"Designers, all other",4,Line item,9,9.5,0.5,5.8,18.8,0.9,"$55,930 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,"Designers, all other","Jobs/Arts, design, etc/Art & design workers/Designers/Designers, all other",#999999,10,#FFB600
Fashion designers,4,Line item,23.8,24.4,0.6,2.6,19.2,2.3,"$67,420 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,Fashion designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Fashion designers",#999999,9,#FFDB00
Floral designers,4,Line item,55,51.4,-3.5,-6.4,19.1,4.5,"$26,350 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Arts, design, etc",Art & design workers,Designers,Floral designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Floral designers",#999999,4,#006DFF
Graphic designers,4,Line item,266.3,277.4,11.1,4.2,18.2,26,"$48,700 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,Graphic designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Graphic designers",#999999,10,#FFB600
Interior designers,4,Line item,66.5,69.5,2.9,4.4,18.9,6.5,"$51,500 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,Interior designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Interior designers",#999999,10,#FFB600
Merchandise displayers & window trimmers,4,Line item,141.4,146,4.6,3.2,19.4,13.6,"$27,680 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Arts, design, etc",Art & design workers,Designers,Merchandise displayers & window trimmers,"Jobs/Arts, design, etc/Art & design workers/Designers/Merchandise displayers & window trimmers",#999999,10,#FFB600
Set & exhibit designers,4,Line item,14.6,16.1,1.5,10.3,18.2,1.6,"$53,090 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc",Art & design workers,Designers,Set & exhibit designers,"Jobs/Arts, design, etc/Art & design workers/Designers/Set & exhibit designers",#999999,11,#FF9200
"Entertainers & performers, sports & related workers",2,Summary,801.9,881.6,79.6,9.9,21,99.8,"$42,010 ",NA,NA,NA,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers",NA,NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers",#999999,11,#FF9200
"Actors, producers, etc",3,Summary,198.5,222.4,23.8,12,19.2,21.4,"$62,760 ",NA,NA,NA,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Actors, producers, etc",NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc",#999999,11,#FF9200
Actors,4,Line item,63.8,71.2,7.4,11.6,25.8,7.4,NA,"Some college, no degree",None,Long-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Actors, producers, etc",Actors,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc/Actors",#999999,11,#FF9200
Producers & directors,4,Line item,134.7,151.2,16.5,12.2,16,14.1,"$71,620 ",Bachelor's degree,Less than 5 years,None,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Actors, producers, etc",Producers & directors,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Actors, producers, etc/Producers & directors",#999999,11,#FF9200
"Athletes, coaches, etc",3,Summary,309,347.2,38.2,12.3,10.1,46.9,"$32,200 ",NA,NA,NA,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Athletes, coaches, etc",NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc",#999999,11,#FF9200
Athletes & sports competitors,4,Line item,11.8,12.7,0.9,7.5,14.8,1.7,"$51,370 ",No formal educational credential,None,Long-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Athletes, coaches, etc",Athletes & sports competitors,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Athletes & sports competitors",#999999,11,#FF9200
Coaches & scouts,4,Line item,276.1,311.7,35.7,12.9,10,42.1,"$32,270 ",Bachelor's degree,None,None,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Athletes, coaches, etc",Coaches & scouts,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Coaches & scouts",#999999,12,#FF6D00
"Umpires, referees, etc",4,Line item,21.1,22.7,1.6,7.6,8.8,3,"$26,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Athletes, coaches, etc","Umpires, referees, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Athletes, coaches, etc/Umpires, referees, etc",#999999,11,#FF9200
Dancers & choreographers,3,Summary,20.4,21.2,0.8,4,26.7,2.8,"$35,680 ",NA,NA,NA,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers",Dancers & choreographers,NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers",#999999,10,#FFB600
